Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.43    0.00    0.97     0.00    11.20    11.59     0.01   13.90   6.78   0.66
dm-0              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.02   13.39   4.68   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 116040.47    0.75 928323.87     6.00     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02 28364.65    0.37 226917.20     2.13     8.00     7.17    0.26   0.04  99.73
sdc               0.00     0.02    0.00    0.28     0.00     2.62     9.24     0.00    0.18   0.18   0.01
sde               0.00     0.02 29905.82    0.28 239246.80     2.40     8.00     4.90    0.17   0.03  99.17
sdd               0.00     0.00 29580.07    0.00 236640.53     0.00     8.00     4.81    0.17   0.03  99.18
sdf               0.00     0.00 29822.63    0.10 238581.07     0.80     8.00     7.31    0.25   0.03  99.76
sda               0.00     0.45    0.00    1.05     0.00    12.00    11.43     0.01   14.25   6.46   0.68
dm-0              0.00     0.00    0.00    1.50     0.00    12.00     8.00     0.02   13.97   4.52   0.68
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 117672.97    0.67 941383.87     5.33     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00    85.40 28729.50   55.78 229836.00  1039.07     8.02     7.43    0.26   0.03  99.76
sdc               0.00     0.00    0.00    0.12     0.00     1.02     8.71     0.00    0.43   0.43   0.01
sde               0.00    88.53 29579.78   38.28 236638.27  1014.53     8.02     4.85    0.17   0.03  99.04
sdd               0.00    88.70 29098.08   36.93 232784.67  1005.07     8.02     4.74    0.17   0.03  98.98
sdf               0.00    87.40 29942.08   42.85 239536.67  1042.00     8.02     7.40    0.25   0.03  99.65
sda               0.00    97.95    0.05    1.88     0.93   798.67   413.59     0.04   19.63   6.41   1.24
dm-0              0.00     0.00    0.05   99.83     0.93   798.67     8.01     2.60   26.02   0.12   1.24
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 117349.28  513.90 938794.27  4100.67     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1771.67 28409.62  638.65 227276.93 19046.13     8.48     8.01    0.28   0.03  99.71
sdc               0.00     0.02    0.00    0.45     0.00     3.70     8.22     0.00    0.00   0.00   0.00
sde               0.00  1869.02 28411.53  596.85 227292.00 19726.93     8.52     5.23    0.18   0.03  99.02
sdd               0.00  1812.98 28456.17  467.45 227649.33 18243.47     8.50     5.14    0.18   0.03  98.98
sdf               0.00  1917.05 28438.80  449.00 227510.40 18928.40     8.53     7.92    0.28   0.03  99.66
sda               0.00    98.25    0.05    1.98     0.93   801.87   394.82     0.04   20.81   6.31   1.28
