Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1343.08    0.00  162.68     0.00 11855.60    72.88     0.04    0.27   0.12   1.93
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00  1522.58    0.00  156.88     0.00 13434.80    85.64     0.08    0.51   0.22   3.39
sdd               0.00   955.70    0.00  129.92     0.00  8683.20    66.84     0.06    0.44   0.19   2.45
sdf               0.00  1439.03    0.00  151.70     0.00 12722.53    83.87     0.09    0.59   0.22   3.41
sda               0.00     0.38    0.00    0.93     0.00    10.53    11.29     0.01   14.38   7.77   0.72
dm-0              0.00     0.00    0.00    1.32     0.00    10.53     8.00     0.02   15.52   5.51   0.72
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 5836.60     0.00 46669.73     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1465.82    0.00  184.17     0.00 12995.07    70.56     0.05    0.25   0.11   2.02
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00  1630.18    0.00  167.18     0.00 14380.27    86.01     0.08    0.49   0.21   3.43
sdd               0.00   992.00    0.00  141.62     0.00  9070.67    64.05     0.06    0.42   0.18   2.55
sdf               0.00  1555.07    0.00  162.43     0.00 13743.33    84.61     0.09    0.56   0.21   3.39
sda               0.00     0.43    0.00    1.08     0.00    12.13    11.20     0.02   15.02   6.77   0.73
dm-0              0.00     0.00    0.00    1.52     0.00    12.13     8.00     0.02   14.64   4.84   0.73
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 6275.07     0.00 50173.73     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1673.23    0.00  207.35     0.00 14822.93    71.49     0.05    0.22   0.10   2.13
sdc               0.00     0.02    0.00    0.50     0.00     4.72     9.43     0.00    0.10   0.07   0.00
