Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
md0            5834.02         0.00     46648.67          0    2798920

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             184.33         0.00     12999.20          0     779952
sdc               0.07         0.00         0.10          0          6
sde             167.50         0.00     14390.93          0     863456
sdd             141.78         0.00      9078.00          0     544680
sdf             162.72         0.00     13754.00          0     825240
sda               1.08         0.00        12.13          0        728
dm-0              1.52         0.00        12.13          0        728
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6277.68         0.00     50194.93          0    3011696

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             207.35         0.00     14822.93          0     889376
sdc               0.50         0.00         4.72          0        283
sde             190.57         0.00     16441.73          0     986504
sdd             160.20         0.00     10334.27          0     620056
sdf             186.32         0.00     15826.53          0     949592
sda               1.00         0.00        12.40          0        744
dm-0              1.55         0.00        12.40          0        744
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7181.72         0.00     57425.47          0    3445528

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             190.90         0.00     13769.33          0     826160
sdc               0.23         0.00         1.60          0         96
sde             175.95         0.00     15254.93          0     915296
sdd             154.87         0.00      9777.73          0     586664
sdf             175.92         0.00     14757.07          0     885424
sda               0.73         0.00         9.60          0        576
dm-0              1.20         0.00         9.60          0        576
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6698.43         0.00     53559.07          0    3213544

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             200.97         0.00     14487.47          0     869248
sdc               0.07         0.00         0.10          0          6
sde             188.07         0.00     15920.27          0     955216
sdd             161.98         0.00     10052.00          0     603120
sdf             185.32         0.00     15611.87          0     936712
sda               0.87         0.00         9.87          0        592
dm-0              1.23         0.00         9.87          0        592
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7012.70         0.00     56071.60          0    3364296

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
